samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
subsample_7.csv,xgbc,75,0.884615385,0.885714286,0.884615385,0.889423077,0.892018779,0.889423077,0.870192308,0.868292683,0.870192308,0.865384615,0.866666667,0.865384615,"{'max_depth': 3, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 100}"
subsample_6.csv,xgbc,75,0.894230769,0.895238095,0.894230769,0.889423077,0.892018779,0.889423077,0.889423077,0.892018779,0.889423077,0.865384615,0.866666667,0.865384615,"{'max_depth': 3, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
subsample_10.csv,xgbc,75,0.875,0.876190476,0.875,0.889423077,0.892018779,0.889423077,0.889423077,0.892018779,0.889423077,0.865384615,0.866666667,0.865384615,"{'max_depth': 10, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
subsample_4.csv,xgbc,75,0.879807692,0.880382775,0.879807692,0.889423077,0.892018779,0.889423077,0.889423077,0.892018779,0.889423077,0.865384615,0.866666667,0.865384615,"{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 3, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}"
subsample_5.csv,xgbc,75,0.889423077,0.889952153,0.889423077,0.889423077,0.892018779,0.889423077,0.889423077,0.892018779,0.889423077,0.865384615,0.866666667,0.865384615,"{'max_depth': 3, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 3, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}"
subsample_1.csv,xgbc,75,0.875,0.875,0.875,0.889423077,0.892018779,0.889423077,0.894230769,0.897196262,0.894230769,0.865384615,0.866666667,0.865384615,"{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}"
subsample_2.csv,xgbc,75,0.875,0.876190476,0.875,0.889423077,0.892018779,0.889423077,0.903846154,0.906542056,0.903846154,0.865384615,0.866666667,0.865384615,"{'max_depth': 10, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 3, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
subsample_3.csv,xgbc,75,0.879807692,0.879227053,0.879807692,0.889423077,0.892018779,0.889423077,0.884615385,0.886792453,0.884615385,0.865384615,0.866666667,0.865384615,"{'max_depth': 3, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}"
subsample_8.csv,lgbm,75,0.879807692,0.879227053,0.879807692,0.870192308,0.870813397,0.870192308,0.884615385,0.886792453,0.884615385,0.875,0.875,0.875,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}"
subsample_9.csv,lgbm,75,0.870192308,0.870813397,0.870192308,0.870192308,0.870813397,0.870192308,0.870192308,0.869565217,0.870192308,0.841346154,0.842105263,0.841346154,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}"
