samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
6,xgbc,10,0.8846153846153846,0.8846153846153846,0.8846153846153845,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8605769230769231,0.8612440191387559,0.8605769230769231,0.8221153846153846,0.8262910798122065,0.8221153846153847,"{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}"
7,xgbc,10,0.8701923076923077,0.8682926829268293,0.8701923076923077,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8798076923076923,0.881516587677725,0.8798076923076923,0.8125,0.8202764976958524,0.8125,"{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 10}"
8,xgbc,10,0.8894230769230769,0.8909952606635071,0.8894230769230769,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8605769230769231,0.8612440191387559,0.8605769230769231,0.8173076923076923,0.8224299065420562,0.8173076923076924,"{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 50}"
9,xgbc,10,0.8990384615384616,0.9004739336492891,0.8990384615384615,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.7980769230769231,0.8055555555555556,0.7980769230769231,"{'max_depth': 5, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 5, 'n_estimators': 10}"
10,xgbc,10,0.8798076923076923,0.8803827751196172,0.8798076923076923,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8846153846153846,0.8857142857142858,0.8846153846153846,0.8076923076923077,0.8130841121495327,0.8076923076923077,"{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 5, 'n_estimators': 50}"
1,lgbm,10,0.8846153846153846,0.8846153846153846,0.8846153846153845,0.875,0.875,0.875,0.875,0.8737864077669903,0.875,0.7980769230769231,0.8037383177570092,0.7980769230769229,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
2,lgbm,10,0.8701923076923077,0.8695652173913043,0.8701923076923077,0.875,0.875,0.875,0.875,0.8737864077669903,0.875,0.7980769230769231,0.8037383177570092,0.7980769230769229,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
3,lgbm,10,0.8605769230769231,0.863849765258216,0.860576923076923,0.875,0.875,0.875,0.875,0.8737864077669903,0.875,0.8028846153846154,0.8093023255813953,0.8028846153846154,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
4,lgbm,10,0.8798076923076923,0.8803827751196172,0.8798076923076923,0.875,0.875,0.875,0.8846153846153846,0.8857142857142858,0.8846153846153846,0.8028846153846154,0.807511737089202,0.8028846153846154,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}"
5,lgbm,10,0.8605769230769231,0.863849765258216,0.860576923076923,0.875,0.875,0.875,0.875,0.8737864077669903,0.875,0.8125,0.8169014084507041,0.8125,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}"
